TraceNo.;Realduration(ms);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained)
573;253206000;0;1;253205999;81595799;81595799;81595799;81595799;85748589;84847208;171610200;171610200;171610200;171610200;167457410;168358791;1;748001;252457999;80847799;77967423;77967423;77967423;78835294;71097602;171610200;174490576;174490576;174490576;173622705;181360397;2;9464001;243741999;72131799;58158451;58158451;58158451;58031356;59788805;171610200;185583548;185583548;185583548;185710643;183953194;3;12217001;240988999;69378799;42744987;42744987;42744987;44835156;42102855;171610200;198244012;198244012;198244012;196153843;198886144;4;244961001;8244999;0;23396509;23396509;23396509;24161857;20769798;8244999;15151510;15151510;15151510;15916858;12524799;5;248433001;4772999;0;13130237;13130237;13130237;13011695;9331208;4772999;8357238;8357238;8357238;8238696;4558209;6;252652001;553999;0;2307032;2307032;2307032;2109812;3399562;553999;1753033;1753033;1753033;1555813;2845563
574;251555000;0;1;251554999;81595799;81595799;81595799;81595799;80200283;83273275;169959200;169959200;169959200;169959200;171354716;168281724;1;690001;250864999;80905799;77967423;77967423;77967423;78850063;75818865;169959200;172897576;172897576;172897576;172014936;175046134;2;4969001;246585999;76626799;58158451;58158451;58158451;59450446;60711292;169959200;188427548;188427548;188427548;187135553;185874707;3;9776001;241778999;71819799;42744987;42744987;42744987;42588140;40612415;169959200;199034012;199034012;199034012;199190859;201166584;4;243732001;7822999;0;23396509;23396509;23396509;24055767;26719445;7822999;15573510;15573510;15573510;16232768;18896446;5;247678001;3876999;0;13130237;13130237;13130237;13159577;11416052;3876999;9253238;9253238;9253238;9282578;7539053;6;251226001;328999;0;2307032;2307032;2307032;2265495;1492725;328999;1978033;1978033;1978033;1936496;1163726
575;254337000;0;1;254336999;81595799;81595799;81595799;81595799;83602262;86674511;172741200;172741200;172741200;172741200;170734737;167662488;1;892001;253444999;80703799;77967423;77967423;77967423;78133296;71061048;172741200;175477576;175477576;175477576;175311703;182383951;2;7356001;246980999;74239799;58158451;58158451;58158451;56759129;59260935;172741200;188822548;188822548;188822548;190221870;187720064;3;241796001;12540999;0;42744987;42744987;42744987;40820850;43878912;12540999;30203988;30203988;30203988;28279851;31337913;4;246442001;7894999;0;23396509;23396509;23396509;23377515;23931242;7894999;15501510;15501510;15501510;15482516;16036243;5;250732001;3604999;0;13130237;13130237;13130237;13411432;15177345;3604999;9525238;9525238;9525238;9806433;11572346;6;253755001;581999;0;2307032;2307032;2307032;2149088;976389;581999;1725033;1725033;1725033;1567089;394390
576;22165000;0;1;22164999;81595799;81595799;81595799;81595799;82949030;79041498;59430800;59430800;59430800;59430800;60784031;56876499;1;801001;21363999;80794799;77967423;77967423;77967423;77640376;72502525;59430800;56603424;56603424;56603424;56276377;51138526;2;5454001;16710999;76141799;58158451;58158451;58158451;58831543;63700578;59430800;41447452;41447452;41447452;42120544;46989579;3;9067001;13097999;72528799;42744987;42744987;42744987;41982895;39321562;59430800;29646988;29646988;29646988;28884896;26223563;4;14182001;7982999;67413799;23396509;23396509;23396509;24070416;20801348;59430800;15413510;15413510;15413510;16087417;12818349;5;16959001;5205999;64636799;13130237;13130237;13130237;13656520;11750015;59430800;7924238;7924238;7924238;8450521;6544016;6;21379001;785999;60216799;2307032;2307032;2307032;2484500;1143735;59430800;1521033;1521033;1521033;1698501;357736
577;250724000;0;1;250723999;81595799;81595799;81595799;81595799;79202428;82702578;169128200;169128200;169128200;169128200;171521571;168021421;1;1004001;249719999;80591799;77967423;77967423;77967423;79189524;71986992;169128200;171752576;171752576;171752576;170530475;177733007;2;6435001;244288999;75160799;58158451;58158451;58158451;61102914;58142915;169128200;186130548;186130548;186130548;183186085;186146084;3;239458001;11265999;0;42744987;42744987;42744987;41886375;37576355;11265999;31478988;31478988;31478988;30620376;26310356;4;244287001;6436999;0;23396509;23396509;23396509;24077756;20274912;6436999;16959510;16959510;16959510;17640757;13837913;5;245509001;5214999;0;13130237;13130237;13130237;12312753;9369015;5214999;7915238;7915238;7915238;7097754;4154016;6;250342001;381999;0;2307032;2307032;2307032;2580371;1145495;381999;1925033;1925033;1925033;2198372;763496
578;255148000;0;1;255147999;81595799;81595799;81595799;81595799;83576854;81470858;173552200;173552200;173552200;173552200;171571145;173677141;1;794001;254353999;80801799;77967423;77967423;77967423;78183870;81339908;173552200;176386576;176386576;176386576;176170129;173014091;2;238671001;16476999;0;58158451;58158451;58158451;56556608;59919212;16476999;41681452;41681452;41681452;40079609;43442213;3;243442001;11705999;0;42744987;42744987;42744987;42404259;45198568;11705999;31038988;31038988;31038988;30698260;33492569;4;248287001;6860999;0;23396509;23396509;23396509;24761789;21308572;6860999;16535510;16535510;16535510;17900790;14447573;5;252434001;2713999;0;13130237;13130237;13130237;12881125;11924338;2713999;10416238;10416238;10416238;10167126;9210339;6;254407001;740999;0;2307032;2307032;2307032;2222738;3597528;740999;1566033;1566033;1566033;1481739;2856529
579;251850000;0;1;251849999;81595799;81595799;81595799;81595799;82068940;91037301;170254200;170254200;170254200;170254200;169781059;160812698;1;1006001;250843999;80589799;77967423;77967423;77967423;80393541;78840522;170254200;172876576;172876576;172876576;170450458;172003477;2;236167001;15682999;0;58158451;58158451;58158451;59190734;57639428;15682999;42475452;42475452;42475452;43507735;41956429;3;240855001;10994999;0;42744987;42744987;42744987;42984907;45677782;10994999;31749988;31749988;31749988;31989908;34682783;4;245839001;6010999;0;23396509;23396509;23396509;22616149;27488092;6010999;17385510;17385510;17385510;16605150;21477093;5;249359001;2490999;0;13130237;13130237;13130237;12712395;11153318;2490999;10639238;10639238;10639238;10221396;8662319;6;251159001;690999;0;2307032;2307032;2307032;2269768;5693675;690999;1616033;1616033;1616033;1578769;5002676
580;249885000;0;1;249884999;81595799;81595799;81595799;81595799;80960846;77511928;168289200;168289200;168289200;168289200;168924153;172373071;1;687001;249197999;80908799;77967423;77967423;77967423;77865187;80818005;168289200;171230576;171230576;171230576;171332812;168379994;2;235166001;14718999;0;58158451;58158451;58158451;59519242;53994782;14718999;43439452;43439452;43439452;44800243;39275783;3;237971001;11913999;0;42744987;42744987;42744987;42142659;39769772;11913999;30830988;30830988;30830988;30228660;27855773;4;242115001;7769999;0;23396509;23396509;23396509;25108343;22712995;7769999;15626510;15626510;15626510;17338344;14942996;5;244615001;5269999;0;13130237;13130237;13130237;13036219;11990915;5269999;7860238;7860238;7860238;7766220;6720916;6;249009001;875999;0;2307032;2307032;2307032;2339799;2431448;875999;1431033;1431033;1431033;1463800;1555449
581;246912000;0;1;246911999;81595799;81595799;81595799;81595799;88686903;87776831;165316200;165316200;165316200;165316200;158225096;159135168;1;227854001;19057999;0;77967423;77967423;77967423;76707962;73054608;19057999;58909424;58909424;58909424;57649963;53996609;2;233037001;13874999;0;58158451;58158451;58158451;59387463;56115848;13874999;44283452;44283452;44283452;45512464;42240849;3;237235001;9676999;0;42744987;42744987;42744987;44602532;42596008;9676999;33067988;33067988;33067988;34925533;32919009;4;242433001;4478999;0;23396509;23396509;23396509;23203431;20012055;4478999;18917510;18917510;18917510;18724432;15533056;5;244328001;2583999;0;13130237;13130237;13130237;12440291;12482015;2583999;10546238;10546238;10546238;9856292;9898016;6;246025001;886999;0;2307032;2307032;2307032;2371356;1336488;886999;1420033;1420033;1420033;1484357;449489
582;24894000;0;1;24893999;81595799;81595799;81595799;81595799;82148957;86714301;56701800;56701800;56701800;56701800;57254958;61820302;1;682001;24211999;80913799;77967423;77967423;77967423;78684905;80862655;56701800;53755424;53755424;53755424;54472906;56650656;2;6779001;18114999;74816799;58158451;58158451;58158451;58013515;58660275;56701800;40043452;40043452;40043452;39898516;40545276;3;11752001;13141999;69843799;42744987;42744987;42744987;41227384;39700815;56701800;29602988;29602988;29602988;28085385;26558816;4;16634001;8259999;64961799;23396509;23396509;23396509;22808435;23489482;56701800;15136510;15136510;15136510;14548436;15229483;5;19936001;4957999;61659799;13130237;13130237;13130237;12700188;14209045;56701800;8172238;8172238;8172238;7742189;9251046;6;24530001;363999;57065799;2307032;2307032;2307032;2538134;2805605;56701800;1943033;1943033;1943033;2174135;2441606
583;27804000;0;1;27803999;81595799;81595799;81595799;81595799;85624955;85178401;53791800;53791800;53791800;53791800;57820956;57374402;1;675001;27128999;80920799;77967423;77967423;77967423;77110655;72657585;53791800;50838424;50838424;50838424;49981656;45528586;2;9346001;18457999;72249799;58158451;58158451;58158451;58657161;60689102;53791800;39700452;39700452;39700452;40199162;42231103;3;14054001;13749999;67541799;42744987;42744987;42744987;42630766;41446402;53791800;28994988;28994988;28994988;28880767;27696403;4;18939001;8864999;62656799;23396509;23396509;23396509;23765707;22923172;53791800;14531510;14531510;14531510;14900708;14058173;5;23167001;4636999;58428799;13130237;13130237;13130237;12019686;12460082;53791800;8493238;8493238;8493238;7382687;7823083;6;26929001;874999;54666799;2307032;2307032;2307032;2224876;2088068;53791800;1432033;1432033;1432033;1349877;1213069
584;19817000;0;1;19816999;81595799;81595799;81595799;81595799;80932618;72987998;61778800;61778800;61778800;61778800;61115619;53170999;1;1085001;18731999;80510799;77967423;77967423;77967423;78958320;84996578;61778800;59235424;59235424;59235424;60226321;66264579;2;5250001;14566999;76345799;58158451;58158451;58158451;57913671;58229358;61778800;43591452;43591452;43591452;43346672;43662359;3;9845001;9971999;71750799;42744987;42744987;42744987;40562149;34216915;61778800;32772988;32772988;32772988;30590150;24244916;4;14550001;5266999;67045799;23396509;23396509;23396509;24289390;25777415;61778800;18129510;18129510;18129510;19022391;20510416;5;18330001;1486999;63265799;13130237;13130237;13130237;11551213;13940062;61778800;11643238;11643238;11643238;10064214;12453063;6;19353001;463999;62242799;2307032;2307032;2307032;2193183;3237558;61778800;1843033;1843033;1843033;1729184;2773559
585;19278000;0;1;19277999;81595799;81595799;81595799;81595799;82860721;78770045;62317800;62317800;62317800;62317800;63582722;59492046;1;603001;18674999;80992799;77967423;77967423;77967423;77876877;70792248;62317800;59292424;59292424;59292424;59201878;52117249;2;6808001;12469999;74787799;58158451;58158451;58158451;58368726;58705742;62317800;45688452;45688452;45688452;45898727;46235743;3;10200001;9077999;71395799;42744987;42744987;42744987;42358070;42183285;62317800;33666988;33666988;33666988;33280071;33105286;4;14899001;4378999;66696799;23396509;23396509;23396509;22782176;30321798;62317800;19017510;19017510;19017510;18403177;25942799;5;17032001;2245999;64563799;13130237;13130237;13130237;14369330;11173138;62317800;10884238;10884238;10884238;12123331;8927139;6;18851001;426999;62744799;2307032;2307032;2307032;2403595;1733785;62317800;1880033;1880033;1880033;1976596;1306786
586;18308000;0;1;18307999;81595799;81595799;81595799;81595799;78624001;77667238;63287800;63287800;63287800;63287800;60316002;59359239;1;565001;17742999;81030799;77967423;77967423;77967423;80236789;81654105;63287800;60224424;60224424;60224424;62493790;63911106;2;5148001;13159999;76447799;58158451;58158451;58158451;58070078;66565705;63287800;44998452;44998452;44998452;44910079;53405706;3;8733001;9574999;72862799;42744987;42744987;42744987;40811872;38696478;63287800;33169988;33169988;33169988;31236873;29121479;4;13517001;4790999;68078799;23396509;23396509;23396509;23547456;24974948;63287800;18605510;18605510;18605510;18756457;20183949;5;16277001;2030999;65318799;13130237;13130237;13130237;14375441;13091295;63287800;11099238;11099238;11099238;12344442;11060296;6;17535001;772999;64060799;2307032;2307032;2307032;2368137;2484008;63287800;1534033;1534033;1534033;1595138;1711009
587;81044000;0;1;81043999;81595799;81595799;81595799;81595799;79633585;85214161;551800;551800;551800;551800;1410414;4170162;1;1173001;79870999;80422799;77967423;77967423;77967423;79751455;73225398;551800;1903576;1903576;1903576;119544;6645601;2;67120001;13923999;14475799;58158451;58158451;58158451;56767760;63521078;551800;44234452;44234452;44234452;42843761;49597079;3;71821001;9222999;9774799;42744987;42744987;42744987;42607394;47134002;551800;33521988;33521988;33521988;33384395;37911003;4;76623001;4420999;4972799;23396509;23396509;23396509;23161338;23614675;551800;18975510;18975510;18975510;18740339;19193676;5;78921001;2122999;2674799;13130237;13130237;13130237;14198698;14119728;551800;11007238;11007238;11007238;12075699;11996729;6;80708001;335999;887799;2307032;2307032;2307032;2294083;1315922;551800;1971033;1971033;1971033;1958084;979923
588;20497000;0;1;20496999;81595799;81595799;81595799;81595799;78732408;75849248;61098800;61098800;61098800;61098800;58235409;55352249;1;1112001;19384999;80483799;77967423;77967423;77967423;77907459;79812085;61098800;58582424;58582424;58582424;58522460;60427086;2;7262001;13234999;74333799;58158451;58158451;58158451;56912055;57117595;61098800;44923452;44923452;44923452;43677056;43882596;3;11996001;8500999;69599799;42744987;42744987;42744987;42247879;43873082;61098800;34243988;34243988;34243988;33746880;35372083;4;16653001;3843999;64942799;23396509;23396509;23396509;23228780;21026462;61098800;19552510;19552510;19552510;19384781;17182463;5;19255001;1241999;62340799;13130237;13130237;13130237;13164338;10267762;61098800;11888238;11888238;11888238;11922339;9025763;6;20082001;414999;61513799;2307032;2307032;2307032;2116825;1155218;61098800;1892033;1892033;1892033;1701826;740219
589;77696000;0;1;77695999;81595799;81595799;81595799;81595799;82614494;77352268;3899800;3899800;3899800;3899800;4918495;343731;1;1183001;76512999;80412799;77967423;77967423;77967423;77329663;88349948;3899800;1454424;1454424;1454424;816664;11836949;2;7904001;69791999;73691799;58158451;58158451;58158451;60222584;53260098;3899800;11633548;11633548;11633548;9569415;16531901;3;12700001;64995999;68895799;42744987;42744987;42744987;43558223;42749122;3899800;22251012;22251012;22251012;21437776;22246877;4;17808001;59887999;63787799;23396509;23396509;23396509;23253037;18321115;3899800;36491490;36491490;36491490;36634962;41566884;5;21546001;56149999;60049799;13130237;13130237;13130237;13163878;14159232;3899800;43019762;43019762;43019762;42986121;41990767;6;22858001;54837999;58737799;2307032;2307032;2307032;2468318;1328798;3899800;52530967;52530967;52530967;52369681;53509201
590;18784000;0;1;18783999;81595799;81595799;81595799;81595799;82489047;81907391;62811800;62811800;62811800;62811800;63705048;63123392;1;720001;18063999;80875799;77967423;77967423;77967423;77670887;82256841;62811800;59903424;59903424;59903424;59606888;64192842;2;3989001;14794999;77606799;58158451;58158451;58158451;60211890;51823812;62811800;43363452;43363452;43363452;45416891;37028813;3;8209001;10574999;73386799;42744987;42744987;42744987;43809580;39003438;62811800;32169988;32169988;32169988;33234581;28428439;4;13541001;5242999;68054799;23396509;23396509;23396509;24149037;27473008;62811800;18153510;18153510;18153510;18906038;22230009;5;15024001;3759999;66571799;13130237;13130237;13130237;13623733;8773522;62811800;9370238;9370238;9370238;9863734;5013523;6;18461001;322999;63134799;2307032;2307032;2307032;2285878;1500358;62811800;1984033;1984033;1984033;1962879;1177359
591;21410000;0;1;21409999;81595799;81595799;81595799;81595799;82153865;81152895;60185800;60185800;60185800;60185800;60743866;59742896;1;865001;20544999;80730799;77967423;77967423;77967423;76560291;79903732;60185800;57422424;57422424;57422424;56015292;59358733;2;6085001;15324999;75510799;58158451;58158451;58158451;57499135;61149522;60185800;42833452;42833452;42833452;42174136;45824523;3;10172001;11237999;71423799;42744987;42744987;42744987;40673509;48225882;60185800;31506988;31506988;31506988;29435510;36987883;4;15350001;6059999;66245799;23396509;23396509;23396509;22106436;22855038;60185800;17336510;17336510;17336510;16046437;16795039;5;17692001;3717999;63903799;13130237;13130237;13130237;13512340;11645448;60185800;9412238;9412238;9412238;9794341;7927449;6;20685001;724999;60910799;2307032;2307032;2307032;2114752;1145528;60185800;1582033;1582033;1582033;1389753;420529
592;82316000;0;1;82315999;81595799;81595799;81595799;81595799;80075180;83602882;720200;720200;720200;720200;2240819;1286883;1;1004001;81311999;80591799;77967423;77967423;77967423;76517304;73020125;720200;3344576;3344576;3344576;4794695;8291874;2;8595001;73720999;73000799;58158451;58158451;58158451;58418079;63809405;720200;15562548;15562548;15562548;15302920;9911594;3;13760001;68555999;67835799;42744987;42744987;42744987;42991541;39348762;720200;25811012;25811012;25811012;25564458;29207237;4;19303001;63012999;62292799;23396509;23396509;23396509;23485305;19323002;720200;39616490;39616490;39616490;39527694;43689997;5;79416001;2899999;2179799;13130237;13130237;13130237;13118834;12681765;720200;10230238;10230238;10230238;10218835;9781766;6;82013001;302999;0;2307032;2307032;2307032;2243056;1684828;302999;2004033;2004033;2004033;1940057;1381829
593;77202000;0;1;77201999;81595799;81595799;81595799;81595799;80279348;80198558;4393800;4393800;4393800;4393800;3077349;2996559;1;857001;76344999;80738799;77967423;77967423;77967423;77054880;85222551;4393800;1622424;1622424;1622424;709881;8877552;2;4949001;72252999;76646799;58158451;58158451;58158451;59221480;60031995;4393800;14094548;14094548;14094548;13031519;12221004;3;9205001;67996999;72390799;42744987;42744987;42744987;43462312;43054982;4393800;25252012;25252012;25252012;24534687;24942017;4;14070001;63131999;67525799;23396509;23396509;23396509;22450697;27703122;4393800;39735490;39735490;39735490;40681302;35428877;5;18447001;58754999;63148799;13130237;13130237;13130237;13464966;14526262;4393800;45624762;45624762;45624762;45290033;44228737;6;76624001;577999;4971799;2307032;2307032;2307032;2311482;1513625;4393800;1729033;1729033;1729033;1733483;935626
594;19307000;0;1;19306999;81595799;81595799;81595799;81595799;81047346;77546055;62288800;62288800;62288800;62288800;61740347;58239056;1;941001;18365999;80654799;77967423;77967423;77967423;78899709;75395775;62288800;59601424;59601424;59601424;60533710;57029776;2;5118001;14188999;76477799;58158451;58158451;58158451;60247634;54745492;62288800;43969452;43969452;43969452;46058635;40556493;3;9893001;9413999;71702799;42744987;42744987;42744987;41823483;50636568;62288800;33330988;33330988;33330988;32409484;41222569;4;15014001;4292999;66581799;23396509;23396509;23396509;24450907;23500362;62288800;19103510;19103510;19103510;20157908;19207363;5;16262001;3044999;65333799;13130237;13130237;13130237;12886158;11805562;62288800;10085238;10085238;10085238;9841159;8760563;6;18607001;699999;62988799;2307032;2307032;2307032;2313655;2818085;62288800;1607033;1607033;1607033;1613656;2118086
595;77942000;0;1;77941999;81595799;81595799;81595799;81595799;78141121;87835481;3653800;3653800;3653800;3653800;199122;9893482;1;773001;77168999;80822799;77967423;77967423;77967423;76298453;78369562;3653800;798424;798424;798424;870546;1200563;2;6850001;71091999;74745799;58158451;58158451;58158451;58245329;55809925;3653800;12933548;12933548;12933548;12846670;15282074;3;10883001;67058999;70712799;42744987;42744987;42744987;39575203;39525402;3653800;24314012;24314012;24314012;27483796;27533597;4;15499001;62442999;66096799;23396509;23396509;23396509;24396308;29545832;3653800;39046490;39046490;39046490;38046691;32897167;5;75637001;2304999;5958799;13130237;13130237;13130237;13169735;10441368;3653800;10825238;10825238;10825238;10864736;8136369;6;77516001;425999;4079799;2307032;2307032;2307032;2342176;2293402;3653800;1881033;1881033;1881033;1916177;1867403
596;78619000;0;1;78618999;81595799;81595799;81595799;81595799;77422816;68113175;2976800;2976800;2976800;2976800;1196183;10505824;1;916001;77702999;80679799;77967423;77967423;77967423;75683310;79102108;2976800;264424;264424;264424;2019689;1399109;2;5700001;72918999;75895799;58158451;58158451;58158451;57213939;58759748;2976800;14760548;14760548;14760548;15705060;14159251;3;10036001;68582999;71559799;42744987;42744987;42744987;43081910;44695418;2976800;25838012;25838012;25838012;25501089;23887581;4;15726001;62892999;65869799;23396509;23396509;23396509;22332990;18426382;2976800;39496490;39496490;39496490;40560009;44466617;5;75775001;2843999;5820799;13130237;13130237;13130237;12517913;12192388;2976800;10286238;10286238;10286238;9673914;9348389;6;77856001;762999;3739799;2307032;2307032;2307032;2273296;2273042;2976800;1544033;1544033;1544033;1510297;1510043
597;73291000;0;1;73290999;81595799;81595799;81595799;81595799;80532602;87937888;8304800;8304800;8304800;8304800;7241603;14646889;1;877001;72413999;80718799;77967423;77967423;77967423;83121142;73693052;8304800;5553424;5553424;5553424;10707143;1279053;2;5888001;67402999;75707799;58158451;58158451;58158451;58247787;57905908;8304800;9244548;9244548;9244548;9155212;9497091;3;8911001;64379999;72684799;42744987;42744987;42744987;42493473;41986332;8304800;21635012;21635012;21635012;21886526;22393667;4;13769001;59521999;67826799;23396509;23396509;23396509;23030296;31066768;8304800;36125490;36125490;36125490;36491703;28455231;5;16399001;56891999;65196799;13130237;13130237;13130237;12305642;14907302;8304800;43761762;43761762;43761762;44586357;41984697;6;72841001;449999;8754799;2307032;2307032;2307032;2113972;2435048;8304800;1857033;1857033;1857033;1663973;1985049
598;80064000;0;1;80063999;81595799;81595799;81595799;81595799;78100486;77128261;1531800;1531800;1531800;1531800;1963513;2935738;1;832001;79231999;80763799;77967423;77967423;77967423;77117054;78380352;1531800;1264576;1264576;1264576;2114945;851647;2;7395001;72668999;74200799;58158451;58158451;58158451;56578836;59066338;1531800;14510548;14510548;14510548;16090163;13602661;3;10242001;69821999;71353799;42744987;42744987;42744987;42202092;49048418;1531800;27077012;27077012;27077012;27619907;20773581;4;15616001;64447999;65979799;23396509;23396509;23396509;23581277;21863602;1531800;41051490;41051490;41051490;40866722;42584397;5;73587001;6476999;8008799;13130237;13130237;13130237;13032799;17256438;1531800;6653238;6653238;6653238;6555800;10779439;6;79234001;829999;2361799;2307032;2307032;2307032;2443540;2049848;1531800;1477033;1477033;1477033;1613541;1219849
599;76187000;0;1;76186999;81595799;81595799;81595799;81595799;79974038;75649788;5408800;5408800;5408800;5408800;3787039;537211;1;1001001;75185999;80594799;77967423;77967423;77967423;77487300;81912858;5408800;2781424;2781424;2781424;2301301;6726859;2;7874001;68312999;73721799;58158451;58158451;58158451;58819977;61560628;5408800;10154548;10154548;10154548;9493022;6752371;3;11175001;65011999;70420799;42744987;42744987;42744987;45676430;46469272;5408800;22267012;22267012;22267012;19335569;18542727;4;16236001;59950999;65359799;23396509;23396509;23396509;24785337;20411102;5408800;36554490;36554490;36554490;35165662;39539897;5;74156001;2030999;7439799;13130237;13130237;13130237;13630507;14106972;5408800;11099238;11099238;11099238;11599508;12075973;6;75646001;540999;5949799;2307032;2307032;2307032;2276894;3016538;5408800;1766033;1766033;1766033;1735895;2475539
600;76361000;0;1;76360999;81595799;81595799;81595799;81595799;81062318;82202151;5234800;5234800;5234800;5234800;4701319;5841152;1;976001;75384999;80619799;77967423;77967423;77967423;80014889;85730751;5234800;2582424;2582424;2582424;4629890;10345752;2;4262001;72098999;77333799;58158451;58158451;58158451;57643142;66425652;5234800;13940548;13940548;13940548;14455857;5673347;3;7905001;68455999;73690799;42744987;42744987;42744987;40205988;49375815;5234800;25711012;25711012;25711012;28250011;19080184;4;14389001;61971999;67206799;23396509;23396509;23396509;23845355;24607065;5234800;38575490;38575490;38575490;38126644;37364934;5;72642001;3718999;8953799;13130237;13130237;13130237;12325661;12587782;5234800;9411238;9411238;9411238;8606662;8868783;6;75523001;837999;6072799;2307032;2307032;2307032;2418537;2438025;5234800;1469033;1469033;1469033;1580538;1600026
601;20060000;0;1;20059999;81595799;81595799;81595799;81595799;81138689;86699371;61535800;61535800;61535800;61535800;61078690;66639372;1;560001;19499999;81035799;77967423;77967423;77967423;80807501;65245712;61535800;58467424;58467424;58467424;61307502;45745713;2;4951001;15108999;76644799;58158451;58158451;58158451;61720849;59726578;61535800;43049452;43049452;43049452;46611850;44617579;3;8678001;11381999;72917799;42744987;42744987;42744987;41680569;36030562;61535800;31362988;31362988;31362988;30298570;24648563;4;13371001;6688999;68224799;23396509;23396509;23396509;24132170;23139985;61535800;16707510;16707510;16707510;17443171;16450986;5;16979001;3080999;64616799;13130237;13130237;13130237;13280754;17596762;61535800;10049238;10049238;10049238;10199755;14515763;6;19496001;563999;62099799;2307032;2307032;2307032;2204805;2477318;61535800;1743033;1743033;1743033;1640806;1913319
602;80756000;0;1;80755999;81595799;81595799;81595799;81595799;78939751;80920918;839800;839800;839800;839800;1816248;164919;1;1121001;79634999;80474799;77967423;77967423;77967423;77855335;79380091;839800;1667576;1667576;1667576;1779664;254908;2;5321001;75434999;76274799;58158451;58158451;58158451;57660276;50321535;839800;17276548;17276548;17276548;17774723;25113464;3;9614001;71141999;71981799;42744987;42744987;42744987;43390235;45221505;839800;28397012;28397012;28397012;27751764;25920494;4;72670001;8085999;8925799;23396509;23396509;23396509;23129494;29714545;839800;15310510;15310510;15310510;15043495;21628546;5;76097001;4658999;5498799;13130237;13130237;13130237;13105176;15620022;839800;8471238;8471238;8471238;8446177;10961023;6;80239001;516999;1356799;2307032;2307032;2307032;2305962;1505635;839800;1790033;1790033;1790033;1788963;988636
603;79869000;0;1;79868999;81595799;81595799;81595799;81595799;82329270;81847192;1726800;1726800;1726800;1726800;2460271;1978193;1;887001;78981999;80708799;77967423;77967423;77967423;82821474;76086995;1726800;1014576;1014576;1014576;3839475;2895004;2;5604001;74264999;75991799;58158451;58158451;58158451;59234971;63005708;1726800;16106548;16106548;16106548;15030028;11259291;3;8946001;70922999;72649799;42744987;42744987;42744987;41263652;50785618;1726800;28178012;28178012;28178012;29659347;20137381;4;70433001;9435999;11162799;23396509;23396509;23396509;23822226;19901448;1726800;13960510;13960510;13960510;14386227;10465449;5;72740001;7128999;8855799;13130237;13130237;13130237;13266089;15110108;1726800;6001238;6001238;6001238;6137090;7981109;6;78978001;890999;2617799;2307032;2307032;2307032;2371193;1138748;1726800;1416033;1416033;1416033;1480194;247749
604;75118000;0;1;75117999;81595799;81595799;81595799;81595799;82015845;82932125;6477800;6477800;6477800;6477800;6897846;7814126;1;1051001;74066999;80544799;77967423;77967423;77967423;78718592;69489075;6477800;3900424;3900424;3900424;4651593;4577924;2;3622001;71495999;77973799;58158451;58158451;58158451;58849319;62642742;6477800;13337548;13337548;13337548;12646680;8853257;3;8454001;66663999;73141799;42744987;42744987;42744987;40761822;41576562;6477800;23919012;23919012;23919012;25902177;25087437;4;69846001;5271999;11749799;23396509;23396509;23396509;22929782;23686388;6477800;18124510;18124510;18124510;17657783;18414389;5;72735001;2382999;8860799;13130237;13130237;13130237;14320595;12953218;6477800;10747238;10747238;10747238;11937596;10570219;6;74684001;433999;6911799;2307032;2307032;2307032;2386920;3185578;6477800;1873033;1873033;1873033;1952921;2751579
